resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25406,1074,844,6,16,1,1,1,1,26.0,57,1:37:33.584,5853584,51,1,1:34.570,206.018,1
25407,1074,832,6,55,3,2,2,2,18.0,57,+5.598,5859182,52,3,1:35.740,203.501,1
25408,1074,1,131,44,5,3,3,3,15.0,57,+9.675,5863259,53,5,1:36.228,202.469,1
25409,1074,847,131,63,9,4,4,4,12.0,57,+11.211,5864795,56,6,1:36.302,202.313,1
25410,1074,825,210,20,7,5,5,5,10.0,57,+14.754,5868338,53,8,1:36.623,201.641,1
25411,1074,822,51,77,6,6,6,6,8.0,57,+16.119,5869703,53,7,1:36.599,201.691,1
25412,1074,839,214,31,11,7,7,7,6.0,57,+19.423,5873007,53,14,1:37.110,200.630,1
25413,1074,852,213,22,16,8,8,8,4.0,57,+20.386,5873970,53,13,1:37.104,200.642,1
25414,1074,4,214,14,8,9,9,9,2.0,57,+22.390,5875974,44,10,1:36.733,201.412,1
25415,1074,855,51,24,15,10,10,10,1.0,57,+23.064,5876648,39,9,1:36.685,201.512,1
25416,1074,854,210,47,12,11,11,11,0.0,57,+32.574,5886158,37,11,1:36.956,200.948,1
25417,1074,840,117,18,19,12,12,12,0.0,57,+45.873,5899457,49,15,1:37.146,200.555,1
25418,1074,848,3,23,14,13,13,13,0.0,57,+53.932,5907516,50,18,1:37.355,200.125,1
25419,1074,817,1,3,18,14,14,14,0.0,57,+54.975,5908559,50,16,1:37.261,200.318,1
25420,1074,846,1,4,13,15,15,15,0.0,57,+56.335,5909919,51,12,1:36.988,200.882,1
25421,1074,849,3,6,20,16,16,16,0.0,57,+1:01.795,5915379,51,20,1:38.251,198.300,1
25422,1074,807,117,27,17,17,17,17,0.0,57,+1:03.829,5917413,49,19,1:38.201,198.401,1
25423,1074,815,9,11,4,18,18,18,0.0,56,\N,\N,52,4,1:36.089,202.762,32
25424,1074,830,9,1,2,19,19,19,0.0,54,\N,\N,51,2,1:35.440,204.140,32
25425,1074,842,213,10,10,\N,R,20,0.0,44,\N,\N,34,17,1:37.324,200.189,131
25426,1075,830,9,1,4,1,1,1,25.0,50,1:24:19.293,5059293,50,2,1:31.772,242.191,1
25427,1075,844,6,16,2,2,2,2,19.0,50,+0.549,5059842,48,1,1:31.634,242.556,1
25428,1075,832,6,55,3,3,3,3,15.0,50,+8.097,5067390,48,3,1:31.905,241.841,1
25429,1075,815,9,11,1,4,4,4,12.0,50,+10.800,5070093,46,4,1:32.042,241.481,1
25430,1075,847,131,63,6,5,5,5,10.0,50,+32.732,5092025,43,7,1:32.821,239.454,1
25431,1075,839,214,31,5,6,6,6,8.0,50,+56.017,5115310,46,9,1:33.103,238.729,1
25432,1075,846,1,4,11,7,7,7,6.0,50,+56.124,5115417,46,5,1:32.753,239.629,1
25433,1075,842,213,10,9,8,8,8,4.0,50,+1:02.946,5122239,42,10,1:33.468,237.796,1
25434,1075,825,210,20,10,9,9,9,2.0,50,+1:04.308,5123601,48,6,1:32.779,239.562,1
25435,1075,1,131,44,15,10,10,10,1.0,50,+1:13.948,5133241,47,8,1:32.997,239.001,1
25436,1075,855,51,24,12,11,11,11,0.0,50,+1:22.215,5141508,45,13,1:33.924,236.642,1
25437,1075,807,117,27,17,12,12,12,0.0,50,+1:31.742,5151035,47,11,1:33.651,237.332,1
25438,1075,840,117,18,13,13,13,13,0.0,49,\N,\N,46,16,1:34.446,235.334,11
25439,1075,848,3,23,16,14,14,14,0.0,47,\N,\N,46,15,1:34.368,235.528,130
25440,1075,822,51,77,8,\N,R,15,0.0,36,\N,\N,31,14,1:33.979,236.503,141
25441,1075,4,214,14,7,\N,R,16,0.0,35,\N,\N,33,12,1:33.831,236.876,103
25442,1075,817,1,3,14,\N,R,17,0.0,35,\N,\N,34,17,1:34.487,235.232,6
25443,1075,849,3,6,18,\N,R,18,0.0,14,\N,\N,9,18,1:37.530,227.892,3
25444,1075,852,213,22,19,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,131
25445,1075,854,210,47,0,\N,W,20,0.0,0,\N,\N,\N,0,\N,\N,54
25446,1076,844,6,16,1,1,1,1,26.0,58,1:27:46.548,5266548,58,1,1:20.260,236.740,1
25447,1076,815,9,11,3,2,2,2,18.0,58,+20.524,5287072,58,3,1:21.094,234.305,1
25448,1076,847,131,63,6,3,3,3,15.0,58,+25.593,5292141,53,4,1:21.495,233.152,1
25449,1076,1,131,44,5,4,4,4,12.0,58,+28.543,5295091,51,7,1:21.886,232.039,1
25450,1076,846,1,4,4,5,5,5,10.0,58,+53.303,5319851,55,8,1:22.248,231.018,1
25451,1076,817,1,3,7,6,6,6,8.0,58,+53.737,5320285,54,9,1:22.451,230.449,1
25452,1076,839,214,31,8,7,7,7,6.0,58,+1:01.683,5328231,58,10,1:22.469,230.399,1
25453,1076,822,51,77,12,8,8,8,4.0,58,+1:08.439,5334987,54,5,1:21.651,232.707,1
25454,1076,842,213,10,11,9,9,9,2.0,58,+1:16.221,5342769,52,13,1:22.731,229.669,1
25455,1076,848,3,23,20,10,10,10,1.0,58,+1:19.382,5345930,54,12,1:22.589,230.064,1
25456,1076,855,51,24,14,11,11,11,0.0,58,+1:21.695,5348243,55,11,1:22.541,230.198,1
25457,1076,840,117,18,19,12,12,12,0.0,58,+1:28.598,5355146,48,17,1:23.592,227.304,1
25458,1076,854,210,47,15,13,13,13,0.0,57,\N,\N,55,14,1:23.006,228.908,11
25459,1076,825,210,20,16,14,14,14,0.0,57,\N,\N,44,15,1:23.071,228.729,11
25460,1076,852,213,22,13,15,15,15,0.0,57,\N,\N,56,16,1:23.342,227.985,11
